taxonomic_chain,nmol
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Lamiaceae-Premna-Premna odorata,322
Viridiplantae-Streptophyta-Marchantiopsida-Marchantiales-Dumortieraceae-Dumortiera-Dumortiera hirsuta,317
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Artemisia-Artemisia herba-alba,316
Fungi-Ascomycota-Eurotiomycetes-Eurotiales-Aspergillaceae-Penicillium-Penicillium citrinum,316
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Senna-Senna siamea,315
Viridiplantae-Streptophyta-Pinopsida-Pinales-Pinaceae-Pinus-Pinus sylvestris,313
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Rutaceae-Cneorum-Cneorum pulverulentum,313
Viridiplantae-Streptophyta-Magnoliopsida-Asparagales-Amaryllidaceae-Allium-Allium ampeloprasum,313
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Lupinus-Lupinus albus,311
Viridiplantae-Streptophyta-Magnoliopsida-Saxifragales-Crassulaceae-Rhodiola-Rhodiola rosea,307
Viridiplantae-Streptophyta-Magnoliopsida-Fagales-Myricaceae-Morella-Morella rubra,306
Viridiplantae-Streptophyta-Magnoliopsida-Gentianales-Apocynaceae-Nerium-Nerium oleander,305
Pseudomonadati-Pseudomonadota-Gammaproteobacteria-Pseudomonadales-Pseudomonadaceae-Pseudomonas-Pseudomonas aeruginosa,304
Viridiplantae-Streptophyta-Magnoliopsida-Rosales-Rosaceae-Prunus-Prunus armeniaca,303
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Lamiaceae-Scutellaria-Scutellaria amoena,303
Fungi-Ascomycota-Sordariomycetes-Hypocreales-Stachybotryaceae-Stachybotrys-Stachybotrys chartarum,301
Viridiplantae-Streptophyta-Magnoliopsida-Buxales-Buxaceae-Buxus-Buxus sempervirens,300
Fungi-Basidiomycota-Agaricomycetes-Polyporales-Polyporaceae-Lentinus-Lentinus tigrinus,298
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Rutaceae-Ruta-Ruta graveolens,298
Bacillati-Bacillota-Bacilli-Bacillales-Bacillaceae-Bacillus-Bacillus subtilis,297
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Senna-Senna alexandrina,297
Viridiplantae-Streptophyta-Magnoliopsida-Magnoliales-Annonaceae-Annona-Annona cherimola,296
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Rutaceae-Phellodendron-Phellodendron amurense,296
Fungi-Ascomycota-Eurotiomycetes-Eurotiales-Aspergillaceae-Aspergillus-Aspergillus niger,296
Viridiplantae-Streptophyta-Magnoliopsida-Apiales-Apiaceae-Bupleurum-Bupleurum scorzonerifolium,295
Viridiplantae-Streptophyta-Magnoliopsida-Malpighiales-Linaceae-Linum-Linum usitatissimum,295
Fungi-Basidiomycota-Agaricomycetes-Polyporales-Polyporaceae-Ganoderma-Ganoderma sinense,294
Viridiplantae-Streptophyta-Magnoliopsida-Apiales-Apiaceae-Bupleurum-Bupleurum falcatum,294
Viridiplantae-Streptophyta-Magnoliopsida-Malpighiales-Euphorbiaceae-Euphorbia-Euphorbia helioscopia,294
Viridiplantae-Streptophyta-Magnoliopsida-Asparagales-Asphodelaceae-Aloe-Aloe spicata,293
Fungi-Basidiomycota-Agaricomycetes-Polyporales-Polyporaceae-Ganoderma-Ganoderma applanatum,293
Viridiplantae-Streptophyta-Magnoliopsida-Malvales-Malvaceae-Gossypium-Gossypium hirsutum,293
Viridiplantae-Streptophyta-Magnoliopsida-Alismatales-Araceae-Pinellia-Pinellia ternata,293
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Rutaceae-Citrus-Citrus grandis,289
Pseudomonadati-Pseudomonadota-Gammaproteobacteria-Alteromonadales-Pseudoalteromonadaceae-Pseudoalteromonas-Pseudoalteromonas luteoviolacea,288
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Lamiaceae-Origanum-Origanum vulgare,288
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Simaroubaceae-Ailanthus-Ailanthus altissima,288
Viridiplantae-Streptophyta-Magnoliopsida-Ericales-Ebenaceae-Diospyros-Diospyros kaki,288
Viridiplantae-Streptophyta-Magnoliopsida-Ericales-Ericaceae-Vaccinium-Vaccinium oxycoccos,287
Viridiplantae-Streptophyta-Magnoliopsida-Sapindales-Rutaceae-Clausena-Clausena excavata,285
Viridiplantae-Streptophyta-Magnoliopsida-Brassicales-Brassicaceae-Brassica-Brassica napus,285
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Asteraceae-Xanthium-Xanthium strumarium,284
Viridiplantae-Streptophyta-Magnoliopsida-Gentianales-Rubiaceae-Coffea-Coffea arabica,282
Viridiplantae-Streptophyta-Magnoliopsida-Asterales-Campanulaceae-Codonopsis-Codonopsis pilosula,282
Viridiplantae-Streptophyta-Magnoliopsida-Magnoliales-Magnoliaceae-Magnolia-Magnolia obovata,282
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Pongamia-Pongamia pinnata,281
Viridiplantae-Streptophyta-Magnoliopsida-Dipsacales-Caprifoliaceae-Valeriana-Valeriana jatamansi,281
Viridiplantae-Streptophyta-Magnoliopsida-Garryales-Eucommiaceae-Eucommia-Eucommia ulmoides,280
Viridiplantae-Streptophyta-Magnoliopsida-Myrtales-Lythraceae-Lythrum-Lythrum salicaria,280
Viridiplantae-Streptophyta-Magnoliopsida-Gentianales-Gentianaceae-Swertia-Swertia franchetiana,279
Viridiplantae-Streptophyta-Magnoliopsida-Fabales-Fabaceae-Ononis-Ononis spinosa,278
Viridiplantae-Streptophyta-Magnoliopsida-Lamiales-Verbenaceae-Lantana-Lantana camara,278
Viridiplantae-Streptophyta-Magnoliopsida-Rosales-Rosaceae-Malus-Malus pumila,278
